"","learn method","mmce","acc","auc","ce"
"46","classif.randomForest",0.138888888888889,0.861111111111111,0.764530551415797,0.529061102831595
"47","classif.rpart",0.208333333333333,0.791666666666667,0.652011922503726,0.304023845007451
"48","classif.glmnet",0.138888888888889,0.861111111111111,0.829359165424739,0.658718330849478
"49","classif.nnet",0.152777777777778,0.847222222222222,0.741430700447094,0.482861400894188
"50","classif.multinom",0.138888888888889,0.861111111111111,0.834575260804769,0.669150521609538
"51","classif.naiveBayes",0.194444444444444,0.805555555555556,0.717980295566502,0.435960591133005
"52","classif.svm",0.180555555555556,0.819444444444444,0.497536945812808,-0.00492610837438423
"53","classif.gbm",0.194444444444444,0.805555555555556,0.815886699507389,0.631773399014778
"54","classif.lda",0.180555555555556,0.819444444444444,0.834975369458128,0.669950738916256
"55","classif.mlp",0.194444444444444,0.805555555555556,0.328817733990148,-0.342364532019704
"56","classif.randomForest",0.180555555555556,0.819444444444444,0.779556650246305,0.559113300492611
"57","classif.rpart",0.180555555555556,0.819444444444444,0.645320197044335,0.29064039408867
"58","classif.glmnet",0.180555555555556,0.819444444444444,0.827586206896552,0.655172413793103
"59","classif.nnet",0.194444444444444,0.805555555555556,0.782635467980296,0.565270935960591
"60","classif.multinom",0.194444444444444,0.805555555555556,0.832512315270936,0.665024630541872
"61","classif.naiveBayes",0.236111111111111,0.763888888888889,0.821428571428571,0.642857142857143
"62","classif.svm",0.194444444444444,0.805555555555556,0.568965517241379,0.137931034482759
"63","classif.gbm",0.194444444444444,0.805555555555556,0.769088669950739,0.538177339901478
"64","classif.lda",0.194444444444444,0.805555555555556,0.791871921182266,0.583743842364532
"65","classif.mlp",0.194444444444444,0.805555555555556,0.70935960591133,0.41871921182266
"66","classif.randomForest",0.152777777777778,0.847222222222222,0.75923645320197,0.518472906403941
"67","classif.rpart",0.111111111111111,0.888888888888889,0.741379310344828,0.482758620689655
"68","classif.glmnet",0.208333333333333,0.791666666666667,0.777709359605911,0.555418719211823
"69","classif.nnet",0.208333333333333,0.791666666666667,0.741379310344828,0.482758620689655
"70","classif.multinom",0.194444444444444,0.805555555555556,0.794334975369458,0.588669950738916
"71","classif.naiveBayes",0.191780821917808,0.808219178082192,0.758196721311475,0.516393442622951
"72","classif.svm",0.164383561643836,0.835616438356164,0.717213114754098,0.434426229508197
"73","classif.gbm",0.164383561643836,0.835616438356164,0.830601092896175,0.66120218579235
"74","classif.lda",0.136986301369863,0.863013698630137,0.80327868852459,0.60655737704918
"75","classif.mlp",0.164383561643836,0.835616438356164,0.718579234972678,0.437158469945355
"76","classif.randomForest",0.136986301369863,0.863013698630137,0.78551912568306,0.57103825136612
"77","classif.rpart",0.150684931506849,0.849315068493151,0.788934426229508,0.577868852459016
"78","classif.glmnet",0.136986301369863,0.863013698630137,0.820355191256831,0.640710382513661
"79","classif.nnet",0.164383561643836,0.835616438356164,0.684426229508197,0.368852459016394
"80","classif.multinom",0.123287671232877,0.876712328767123,0.790983606557377,0.581967213114754
"81","classif.naiveBayes",0.205479452054795,0.794520547945205,0.596153846153846,0.192307692307692
"82","classif.svm",0.10958904109589,0.89041095890411,0.544230769230769,0.0884615384615384
"83","classif.gbm",0.10958904109589,0.89041095890411,0.6625,0.325
"84","classif.lda",0.164383561643836,0.835616438356164,0.665384615384615,0.330769230769231
"85","classif.mlp",0.10958904109589,0.89041095890411,0.361538461538462,-0.276923076923077
"86","classif.randomForest",0.136986301369863,0.863013698630137,0.754807692307692,0.509615384615385
"87","classif.rpart",0.0821917808219178,0.917808219178082,0.597115384615385,0.194230769230769
"88","classif.glmnet",0.150684931506849,0.849315068493151,0.679807692307692,0.359615384615385
"89","classif.nnet",0.10958904109589,0.89041095890411,0.694230769230769,0.388461538461538
"90","classif.multinom",0.150684931506849,0.849315068493151,0.667307692307692,0.334615384615385
"91","classif.naiveBayes",0.222222222222222,0.777777777777778,0.633333333333333,0.266666666666667
"92","classif.svm",0.166666666666667,0.833333333333333,0.476388888888889,-0.0472222222222223
"93","classif.gbm",0.166666666666667,0.833333333333333,0.704861111111111,0.409722222222222
"94","classif.lda",0.180555555555556,0.819444444444444,0.725,0.45
"95","classif.mlp",0.166666666666667,0.833333333333333,0.474305555555556,-0.0513888888888889
"96","classif.randomForest",0.152777777777778,0.847222222222222,0.739583333333333,0.479166666666667
"97","classif.rpart",0.194444444444444,0.805555555555556,0.619444444444444,0.238888888888889
"98","classif.glmnet",0.166666666666667,0.833333333333333,0.722222222222222,0.444444444444444
"99","classif.nnet",0.194444444444444,0.805555555555556,0.679166666666667,0.358333333333333
"100","classif.multinom",0.166666666666667,0.833333333333333,0.719444444444444,0.438888888888889
"101","classif.naiveBayes",0.180555555555556,0.819444444444444,0.715401785714286,0.430803571428571
"102","classif.svm",0.194444444444444,0.805555555555556,0.719866071428571,0.439732142857143
"103","classif.gbm",0.222222222222222,0.777777777777778,0.756138392857143,0.512276785714286
"104","classif.lda",0.166666666666667,0.833333333333333,0.786830357142857,0.573660714285714
"105","classif.mlp",0.222222222222222,0.777777777777778,0.559151785714286,0.118303571428571
"106","classif.randomForest",0.180555555555556,0.819444444444444,0.786830357142857,0.573660714285714
"107","classif.rpart",0.180555555555556,0.819444444444444,0.682477678571429,0.364955357142857
"108","classif.glmnet",0.180555555555556,0.819444444444444,0.797991071428571,0.595982142857143
"109","classif.nnet",0.222222222222222,0.777777777777778,0.76953125,0.5390625
"110","classif.multinom",0.166666666666667,0.833333333333333,0.762276785714286,0.524553571428571
"111","classif.naiveBayes",0.138888888888889,0.861111111111111,0.844262295081967,0.688524590163935
"112","classif.svm",0.138888888888889,0.861111111111111,0.768256333830104,0.536512667660209
"113","classif.gbm",0.152777777777778,0.847222222222222,0.77645305514158,0.552906110283159
"114","classif.lda",0.111111111111111,0.888888888888889,0.820417287630402,0.640834575260805
"115","classif.mlp",0.152777777777778,0.847222222222222,0.403129657228018,-0.193740685543964
