FunctionName, RelativePath, CountLineCode, CountPath, Cyclomatic, MaxNesting, Knots, CountInput, CountOutput
build_signature_pointer_constructor, gcc-2.8.0\cp\sig.c, 98, 42, 15, 3, 13, 23, 22
build_user_type_conversion, gcc-2.8.0\cp\call.c, 15, 3, 3, 2, 3, 10, 4
equality_op, gcc-2.8.0\config\m88k\m88k.c, 7, 1, 1, 0, 0, 2, 1
index_type_equal, gcc-2.8.0\tree.c, 21, 5, 5, 2, 5, 12, 2
const_uint32_operand, gcc-2.8.0\config\arc\arc.c, 8, 1, 1, 0, 0, 4, 1
vwarning, gcc-2.8.0\toplev.c, 7, 1, 1, 0, 0, 6, 1
build_typename_overload, gcc-2.8.0\cp\method.c, 14, 1, 4, 0, 0, 19, 12
lookup_fnfields, gcc-2.8.0\cp\search.c, 216, 83696, 39, 5, 29, 68, 38
lookup_conversions, gcc-2.8.0\cp\search.c, 12, 2, 2, 1, 0, 11, 3
can_convert, gcc-2.8.0\cp\call.c, 16, 2, 2, 1, 1, 10, 3
build_expr_type_conversion, gcc-2.8.0\cp\cvt.c, 86, 344, 30, 4, 42, 21, 8
build_default_binary_type_conversion, gcc-2.8.0\cp\cvt.c, 101, 80, 34, 2, 27, 7, 7
type_promotes_to, gcc-2.8.0\cp\cvt.c, 36, 8, 9, 2, 6, 29, 4
int_fits_type_p, gcc-2.8.0\tree.c, 19, 2, 2, 1, 1, 28, 1
bc_expand_conversion, gcc-2.8.0\bc-optab.c, 9, 1, 1, 0, 0, 8, 2
bc_expand_truth_conversion, gcc-2.8.0\bc-optab.c, 8, 1, 1, 0, 0, 6, 2
bc_expand_binary_operation, gcc-2.8.0\bc-optab.c, 34, 6, 6, 2, 0, 17, 7
bc_expand_unary_operation, gcc-2.8.0\bc-optab.c, 28, 6, 5, 2, 0, 15, 7
parse_set_mark, gcc-2.8.0\cpplib.c, 11, 1, 1, 0, 0, 9, 5
parse_clear_mark, gcc-2.8.0\cpplib.c, 11, 5, 4, 2, 2, 7, 1
parse_goto_mark, gcc-2.8.0\cpplib.c, 10, 2, 2, 1, 0, 9, 2
parse_move_mark, gcc-2.8.0\cpplib.c, 10, 2, 2, 1, 0, 7, 3
cpp_handle_options, gcc-2.8.0\cpplib.c, 405, 41314, 111, 6, 722, 18, 63
cpp_get_token, gcc-2.8.0\cpplib.c, 529, 1343, 249, 7, 1173, 48, 37
cpp_skip_hspace, gcc-2.8.0\cpplib.c, 34, 11, 14, 3, 15, 20, 4
cpp_get_non_space_token, gcc-2.8.0\cpplib.c, 14, 3, 3, 2, 2, 4, 4
cpp_cleanup, gcc-2.8.0\cpplib.c, 57, 576, 11, 2, 0, 15, 12
cpp_buf_line_and_col, gcc-2.8.0\cpplib.c, 20, 4, 3, 1, 1, 14, 2
cpp_file_buffer, gcc-2.8.0\cpplib.c, 10, 3, 3, 2, 3, 12, 1
cpp_define, gcc-2.8.0\cpplib.c, 45, 11, 7, 3, 5, 5, 7
cpp_error, gcc-2.8.0\cpplib.c, 10, 1, 1, 0, 0, 30, 3
cpp_warning, gcc-2.8.0\cpplib.c, 14, 3, 3, 1, 1, 16, 4
cpp_pedwarn, gcc-2.8.0\cpplib.c, 11, 2, 2, 1, 1, 30, 2
cpp_error_with_line, gcc-2.8.0\cpplib.c, 14, 2, 2, 1, 0, 11, 4
cpp_pedwarn_with_line, gcc-2.8.0\cpplib.c, 12, 2, 2, 1, 1, 10, 2
cpp_pedwarn_with_file_and_line, gcc-2.8.0\cpplib.c, 16, 3, 3, 1, 1, 11, 2
fancy_abort, gcc-2.8.0\collect2.c, 5, 1, 1, 0, 0, 0, 1
cpp_error_from_errno, gcc-2.8.0\cpplib.c, 12, 2, 2, 1, 0, 6, 5
cpp_perror_with_name, gcc-2.8.0\cpplib.c, 7, 1, 1, 0, 0, 8, 2
cpp_message, gcc-2.8.0\fix-header.c, 17, 9, 5, 1, 2, 6, 2
cpp_grow_buffer, gcc-2.8.0\cpplib.c, 11, 1, 1, 0, 0, 17, 5
cpp_parse_escape, gcc-2.8.0\cppexp.c, 97, 38, 31, 3, 88, 5, 3
cpp_push_buffer, gcc-2.8.0\cpplib.c, 23, 2, 2, 1, 1, 13, 12
cpp_pop_buffer, gcc-2.8.0\cpplib.c, 8, 1, 1, 0, 0, 9, 2
cpp_lookup, gcc-2.8.0\cpphash.c, 24, 18, 6, 2, 3, 16, 3
function_epilogue, gcc-2.8.0\config\h8300\h8300.c, 110, 1928, 17, 5, 16, 13, 8
eval_if_expression, gcc-2.8.0\cpplib.c, 17, 1, 1, 0, 0, 5, 7
eval_if_expression, gcc-2.8.0\cccp.c, 20, 1, 1, 0, 0, 10, 8
restore_unscaled_index_insn_codes, gcc-2.8.0\config\pa\pa.c, 12, 3, 3, 2, 0, 7, 2
record_unscaled_index_insn_codes, gcc-2.8.0\config\pa\pa.c, 28, 65, 8, 2, 3, 8, 6
find_a_file, gcc-2.8.0\collect2.c, 30, 5, 5, 3, 7, 8, 9
output_tst, gcc-2.8.0\config\mn10300\mn10300.c, 62, 35, 9, 2, 12, 12, 5
redeclaration_error_message, gcc-2.8.0\cp\decl.c, 49, 12, 12, 3, 18, 16, 3
register_operand, gcc-2.8.0\recog.c, 17, 4, 4, 2, 3, 120, 3
call_operand, gcc-2.8.0\config\alpha\alpha.c, 10, 2, 2, 1, 1, 5, 1
symbolic_expression_p, gcc-2.8.0\config\pa\pa.c, 8, 2, 2, 1, 0, 5, 2
symbolic_memory_operand, gcc-2.8.0\config\arc\arc.c, 13, 4, 3, 1, 1, 4, 1
symbolic_address_p, gcc-2.8.0\config\m88k\m88k.c, 18, 3, 4, 1, 3, 7, 1
reg_or_mem_operand, gcc-2.8.0\config\romp\romp.c, 7, 1, 1, 0, 0, 2, 3
memory_operand, gcc-2.8.0\recog.c, 15, 4, 4, 1, 2, 22, 2
reg_or_0_or_nonsymb_mem_operand, gcc-2.8.0\config\pa\pa.c, 13, 4, 4, 1, 3, 3, 4
cint_ok_for_move, gcc-2.8.0\config\pa\pa.c, 7, 1, 1, 0, 0, 5, 3
zdepi_cint_p, gcc-2.8.0\config\pa\pa.c, 9, 1, 1, 0, 0, 3, 1
move_double_src_operand, gcc-2.8.0\config\arc\arc.c, 26, 7, 8, 2, 17, 5, 3
memory_address_p, gcc-2.8.0\recog.c, 12, 2, 2, 1, 1, 35, 2
reg_or_cint_move_operand, gcc-2.8.0\config\pa\pa.c, 11, 3, 3, 1, 2, 5, 3
pic_label_operand, gcc-2.8.0\config\pa\pa.c, 19, 4, 4, 1, 4, 6, 1
fix_argv, gcc-2.8.0\pexecute.c, 29, 4, 4, 3, 0, 2, 5
arith_double_operand, gcc-2.8.0\config\sparc\sparc.c, 19, 1, 1, 0, 0, 9, 3
append_include_chain, gcc-2.8.0\cpplib.c, 25, 21, 7, 2, 4, 12, 8
pre_cint_operand, gcc-2.8.0\config\pa\pa.c, 8, 1, 1, 0, 0, 4, 1
post_cint_operand, gcc-2.8.0\config\pa\pa.c, 8, 1, 1, 0, 0, 4, 1
arith5_operand, gcc-2.8.0\config\m88k\m88k.c, 8, 1, 1, 0, 0, 5, 2
ireg_or_int5_operand, gcc-2.8.0\config\pa\pa.c, 8, 1, 1, 0, 0, 4, 2
uint5_operand, gcc-2.8.0\config\pa\pa.c, 7, 1, 1, 0, 0, 2, 2
int11_operand, gcc-2.8.0\config\pa\pa.c, 7, 1, 1, 0, 0, 2, 2
uint32_operand, gcc-2.8.0\config\pa\pa.c, 9, 1, 1, 0, 0, 4, 1
arith32_operand, gcc-2.8.0\config\m88k\m88k.c, 7, 1, 1, 0, 0, 3, 2
and_mask_p, gcc-2.8.0\config\pa\pa.c, 8, 1, 1, 0, 0, 2, 1
add_prefix, gcc-2.8.0\collect2.c, 26, 12, 5, 2, 2, 6, 7
ior_mask_p, gcc-2.8.0\config\pa\pa.c, 7, 1, 1, 0, 0, 2, 1
ior_operand, gcc-2.8.0\config\pa\pa.c, 7, 1, 1, 0, 0, 4, 2
lhs_lshift_operand, gcc-2.8.0\config\pa\pa.c, 7, 1, 1, 0, 0, 2, 3
lhs_lshift_cint_operand, gcc-2.8.0\config\pa\pa.c, 11, 2, 2, 1, 1, 5, 1
arith11_operand, gcc-2.8.0\config\sparc\sparc.c, 8, 1, 1, 0, 0, 5, 3
path_include, gcc-2.8.0\cpplib.c, 36, 10, 6, 3, 3, 3, 8
legitimize_address, gcc-2.8.0\config\m88k\m88k.c, 104, 77, 22, 4, 16, 17, 17
emit_insn, gcc-2.8.0\emit-rtl.c, 23, 5, 4, 2, 1, 139, 4
gen_rtx, gcc-2.8.0\emit-rtl.c, 70, 14, 22, 3, 34, 485, 11
gen_rtvec, gcc-2.8.0\emit-rtl.c, 15, 3, 4, 1, 1, 18, 4
emit_move_insn, gcc-2.8.0\expr.c, 26, 32, 6, 1, 0, 140, 10
plus_constant_for_output_wide, gcc-2.8.0\explow.c, 14, 2, 2, 1, 1, 14, 3
force_reg, gcc-2.8.0\explow.c, 22, 4, 4, 2, 2, 68, 8
hppa_legitimize_address, gcc-2.8.0\config\pa\pa.c, 229, 277, 33, 4, 26, 12, 11
gen_reg_rtx, gcc-2.8.0\emit-rtl.c, 45, 6, 5, 1, 1, 114, 12
plus_constant_wide, gcc-2.8.0\explow.c, 75, 43, 18, 3, 46, 111, 10
shadd_constant_p, gcc-2.8.0\config\pa\pa.c, 9, 2, 2, 1, 1, 3, 1
force_operand, gcc-2.8.0\expr.c, 54, 29, 10, 2, 8, 33, 4
hppa_address_cost, gcc-2.8.0\config\pa\pa.c, 12, 4, 4, 1, 3, 2, 1
emit_a_shift, gcc-2.8.0\config\h8300\h8300.c, 162, 2512, 28, 4, 30, 11, 9
alter_subreg, gcc-2.8.0\final.c, 24, 8, 7, 2, 1, 15, 6
force_const_mem, gcc-2.8.0\varasm.c, 91, 313, 17, 3, 6, 40, 42
validize_mem, gcc-2.8.0\explow.c, 10, 3, 3, 1, 2, 22, 3
immediate_operand, gcc-2.8.0\recog.c, 14, 2, 2, 1, 1, 15, 2
function_label_operand, gcc-2.8.0\config\pa\pa.c, 7, 1, 1, 0, 0, 6, 2
expand_inc, gcc-2.8.0\expmed.c, 10, 2, 2, 1, 0, 6, 2
reloc_needed, gcc-2.8.0\config\pa\pa.c, 32, 8, 11, 3, 11, 8, 1
